Time, C12_R_ch1, C12_R_ch2, P12_W_ch1, P12_W_ch2
70.0298, 36, 52, 79, 52
70.1534, 79, 52, 79, 52
70.2218, 79, 52, 79, 52
70.2509, 79, 50, 79, 52
70.3475, 79, 50, 79, 50
70.4471, 79, 50, 79, 50
70.5667, 79, 50, 71, 50
70.6936, 71, 50, 71, 50
70.7630, 71, 50, 71, 50
70.7918, 71, 73, 71, 50
70.9227, 71, 73, 71, 73
71.1227, 71, 73, 71, 73
71.2919, 71, 73, 81, 73
71.4023, 81, 73, 81, 73
71.4673, 81, 73, 81, 73
71.4950, 81, 30, 81, 73
71.5742, 81, 30, 81, 30
71.9120, 81, 30, 81, 30
71.9412, 94, 30, 81, 30
71.9747, 94, 30, 94, 30
72.0061, 94, 30, 94, 30
72.0434, 94, 30, 94, 60
72.0677, 94, 60, 94, 60
72.3760, 94, 60, 94, 60
72.4324, 94, 60, 99, 60
72.5576, 99, 60, 99, 60
72.7243, 99, 60, 99, 60
72.7496, 99, 81, 99, 60
72.8132, 99, 81, 99, 81
73.0263, 99, 81, 99, 81
73.1415, 99, 81, 96, 81
73.2574, 96, 81, 96, 81
73.3363, 96, 81, 96, 81
73.5280, 96, 81, 96, 59
73.5344, 96, 59, 96, 59
74.0033, 96, 59, 96, 59
74.1509, 96, 59, 13, 59
74.2510, 13, 59, 13, 59
74.3396, 13, 59, 13, 59
74.4093, 13, 59, 13, 68
74.3727, 13, 68, 13, 68
74.7675, 13, 68, 13, 68
74.9140, 13, 68, 95, 68
74.9735, 95, 68, 95, 68
75.0399, 95, 68, 95, 68
75.0661, 95, 26, 95, 68
75.1863, 95, 26, 95, 26
75.3481, 95, 26, 95, 26
75.5904, 95, 26, 84, 26
75.7794, 84, 26, 84, 26
75.8656, 84, 26, 84, 26
75.8985, 84, 40, 84, 26
76.0336, 84, 40, 84, 40
76.2052, 84, 40, 84, 40
76.4805, 84, 40, 84, 40
76.5401, 84, 40, 84, 40
76.6259, 84, 40, 84, 40
76.6559, 84, 76, 84, 40
76.8022, 84, 76, 84, 76
76.9740, 84, 76, 84, 76
77.1411, 84, 76, 36, 76
77.2554, 36, 76, 36, 76
77.3302, 36, 76, 36, 76
77.3622, 36, 7, 36, 76
77.4637, 36, 7, 36, 7
78.8553, 36, 7, 36, 7
78.8987, 56, 7, 36, 7
78.9533, 56, 7, 56, 7
78.9730, 56, 7, 56, 7
79.0602, 56, 7, 56, 79
79.0924, 56, 79, 56, 79
79.3770, 56, 79, 56, 79
79.5219, 56, 79, 87, 79
79.6182, 87, 79, 87, 79
79.7102, 87, 79, 87, 79
79.7469, 87, 12, 87, 79
79.8538, 87, 12, 87, 12
80.0064, 87, 12, 87, 12
80.2174, 87, 12, 72, 12
80.2381, 72, 12, 72, 12
80.4107, 72, 12, 72, 12
80.4373, 72, 59, 72, 12
80.4709, 72, 59, 72, 59
80.7399, 72, 59, 72, 59
80.8064, 72, 59, 36, 59
80.9049, 36, 59, 36, 59
80.9820, 36, 59, 36, 59
81.0143, 36, 10, 36, 59
81.1072, 36, 10, 36, 10
81.2705, 36, 10, 36, 10
81.5118, 87, 10, 36, 10
81.6395, 87, 10, 36, 10
81.6480, 87, 10, 87, 10
81.7871, 87, 10, 87, 6
81.8246, 87, 6, 87, 6
82.2314, 87, 6, 87, 6
82.2883, 87, 6, 13, 6
82.3849, 13, 6, 13, 6
82.4517, 13, 6, 13, 6
82.4818, 13, 72, 13, 6
82.6039, 13, 72, 13, 72
82.8953, 13, 72, 13, 72
83.0228, 13, 72, 55, 72
83.0297, 55, 72, 55, 72
83.1185, 55, 72, 55, 72
83.1640, 55, 72, 55, 19
83.2328, 55, 19, 55, 19
83.5360, 55, 19, 55, 19
83.9260, 55, 19, 21, 19
84.0782, 21, 19, 21, 19
84.2485, 21, 19, 21, 19
84.3107, 21, 4, 21, 19
84.3673, 21, 4, 21, 4
84.7739, 21, 4, 21, 4
84.8049, 11, 4, 21, 4
84.8727, 11, 4, 21, 4
84.9176, 11, 4, 11, 4
85.0764, 11, 4, 11, 40
85.1251, 11, 40, 11, 40
85.9685, 11, 40, 11, 40
86.1145, 11, 40, 5, 40
86.1574, 5, 40, 5, 40
86.2488, 5, 40, 5, 40
86.2798, 5, 28, 5, 40
86.3830, 5, 28, 5, 28
86.6102, 5, 28, 5, 28
86.6613, 5, 28, 50, 28
86.6894, 50, 28, 50, 28
86.7647, 50, 28, 50, 28
86.8208, 50, 28, 50, 84
86.8522, 50, 84, 50, 84
87.1153, 50, 84, 50, 84
87.3022, 50, 84, 20, 84
87.3326, 20, 84, 20, 84
87.3632, 20, 84, 20, 84
87.4111, 20, 84, 20, 24
87.4575, 20, 24, 20, 24
87.8388, 20, 24, 20, 24
87.9941, 20, 24, 69, 24
88.0128, 69, 24, 69, 24
88.0877, 69, 24, 69, 24
88.1463, 69, 24, 69, 96
88.1733, 69, 96, 69, 96
88.4546, 69, 96, 69, 96
88.5303, 69, 96, 30, 96
88.5641, 30, 96, 30, 96
88.6975, 30, 96, 30, 96
88.7589, 30, 96, 30, 84
88.7884, 30, 84, 30, 84
89.0229, 30, 84, 30, 84
89.1825, 30, 84, 72, 84
89.2184, 72, 84, 72, 84
89.2414, 72, 84, 72, 84
89.2686, 72, 72, 72, 84
89.3788, 72, 72, 72, 72
89.5962, 72, 72, 72, 72
89.8044, 72, 72, 25, 72
89.8411, 25, 72, 25, 72
89.9173, 25, 72, 25, 72
89.9767, 25, 72, 25, 85
90.0108, 25, 85, 25, 85
90.3063, 25, 85, 25, 85
90.5101, 25, 85, 99, 85
90.5564, 99, 85, 99, 85
90.6333, 99, 85, 99, 85
90.6850, 99, 40, 99, 85
90.7036, 99, 40, 99, 40
90.9208, 99, 40, 99, 40
91.1253, 99, 40, 98, 40
91.1870, 98, 40, 98, 40
91.2699, 98, 40, 98, 40
91.3013, 98, 13, 98, 40
91.4052, 98, 13, 98, 13
91.5297, 98, 13, 98, 13
91.7344, 98, 13, 90, 13
91.7713, 90, 13, 90, 13
91.8336, 90, 13, 90, 13
91.8890, 90, 13, 90, 24
91.9212, 90, 24, 90, 24
92.2936, 90, 24, 90, 24
92.3492, 90, 24, 9, 24
92.4899, 9, 24, 9, 24
92.6169, 9, 24, 9, 24
92.6491, 9, 81, 9, 24
92.7773, 9, 81, 9, 81
92.9681, 9, 81, 9, 81
93.0640, 9, 81, 36, 81
93.1094, 36, 81, 36, 81
93.1861, 36, 81, 36, 81
93.2497, 36, 81, 36, 32
93.2837, 36, 32, 36, 32
93.7215, 36, 32, 36, 32
93.8152, 36, 32, 94, 32
93.8528, 94, 32, 94, 32
93.9294, 94, 32, 94, 32
93.9581, 94, 4, 94, 32
94.0606, 94, 4, 94, 4
94.2750, 94, 4, 94, 4
94.3529, 94, 4, 69, 4
94.4066, 69, 4, 69, 4
94.4775, 69, 4, 69, 4
94.5046, 69, 73, 69, 4
94.6099, 69, 73, 69, 73
94.7401, 69, 73, 69, 73
94.9600, 69, 73, 50, 73
95.0016, 50, 73, 50, 73
95.0594, 50, 73, 50, 73
95.1163, 50, 73, 50, 55
