Time, C12_R_ch1, C12_R_ch2, C122_R_ch12, C122_R_ch22, P12_W_ch1, P12_W_ch2, P122_W_ch12, P122_W_ch22
30.6505, 29, 76, 4, 43, 29, 76, 6, 43
30.8069, 29, 76, 6, 43, 29, 76, 6, 43
30.8802, 29, 76, 6, 43, 29, 76, 6, 43
30.9147, 29, 76, 6, 4, 29, 76, 6, 43
30.9675, 29, 76, 6, 4, 40, 76, 6, 43
30.9841, 29, 76, 6, 4, 40, 76, 6, 4
31.0264, 40, 76, 6, 4, 40, 76, 6, 4
31.0856, 40, 76, 6, 4, 40, 76, 6, 4
31.1034, 40, 18, 6, 4, 40, 76, 6, 4
31.1390, 40, 18, 6, 4, 40, 18, 6, 4
31.4335, 40, 18, 6, 4, 40, 18, 6, 4
31.5084, 40, 18, 6, 4, 40, 18, 6, 4
31.5997, 40, 18, 6, 4, 17, 18, 6, 4
31.6413, 17, 18, 6, 4, 17, 18, 6, 4
31.6445, 17, 18, 6, 4, 17, 18, 17, 4
31.8285, 17, 18, 17, 4, 17, 18, 17, 4
31.8445, 17, 18, 17, 4, 17, 18, 17, 4
31.8829, 17, 96, 17, 4, 17, 18, 17, 4
31.8849, 17, 96, 17, 4, 17, 18, 17, 4
31.9311, 17, 96, 17, 24, 17, 18, 17, 4
31.9925, 17, 96, 17, 24, 17, 96, 17, 4
32.1248, 17, 96, 17, 24, 17, 96, 17, 24
32.2896, 17, 96, 17, 24, 17, 96, 17, 24
32.3451, 17, 96, 17, 24, 17, 96, 17, 24
32.6291, 17, 96, 17, 24, 90, 96, 17, 24
32.6471, 17, 96, 17, 24, 90, 96, 99, 24
32.7643, 17, 96, 99, 24, 90, 96, 99, 24
32.7824, 17, 96, 99, 24, 90, 96, 99, 24
32.7952, 90, 96, 99, 24, 90, 96, 99, 24
32.8925, 90, 96, 99, 24, 90, 96, 99, 25
32.9176, 90, 96, 99, 24, 90, 96, 99, 25
32.9620, 90, 72, 99, 24, 90, 96, 99, 25
32.9995, 90, 72, 99, 25, 90, 96, 99, 25
33.1151, 90, 72, 99, 25, 90, 72, 99, 25
33.3766, 90, 72, 99, 25, 90, 72, 99, 25
33.4016, 90, 72, 99, 25, 90, 72, 99, 25
33.4193, 39, 72, 99, 25, 90, 72, 99, 25
33.4299, 39, 72, 99, 25, 39, 72, 99, 25
33.5668, 39, 72, 99, 25, 39, 72, 99, 25
33.6154, 39, 72, 99, 25, 39, 54, 99, 25
33.6407, 39, 54, 99, 25, 39, 54, 99, 25
33.7501, 39, 54, 99, 25, 39, 54, 86, 25
33.8324, 39, 54, 86, 25, 39, 54, 86, 25
34.0096, 39, 54, 86, 25, 39, 54, 86, 25
34.0522, 39, 54, 86, 69, 39, 54, 86, 25
34.1446, 39, 54, 86, 69, 39, 54, 86, 69
34.3898, 39, 54, 86, 69, 39, 54, 86, 69
34.5918, 39, 54, 86, 69, 39, 54, 86, 69
34.7273, 39, 54, 86, 69, 39, 54, 97, 69
34.7522, 39, 54, 97, 69, 39, 54, 97, 69
34.8341, 39, 54, 97, 69, 55, 54, 97, 69
34.8466, 39, 54, 97, 69, 55, 54, 97, 69
34.9349, 55, 54, 97, 69, 55, 54, 97, 69
34.9614, 55, 54, 97, 69, 55, 54, 97, 7
35.1072, 55, 54, 97, 7, 55, 54, 97, 7
35.2025, 55, 54, 97, 7, 55, 54, 97, 7
